InvoiceNo,DateKey,CustomerID,ProductKey,CountryKey,Quantity,UnitPrice,Revenue
536375,20101201,17850,2478,1,6,2.1,12.600000000000001
536375,20101201,17850,3077,1,6,2.55,15.299999999999999
536375,20101201,17850,3085,1,6,3.39,20.34
536375,20101201,17850,3084,1,6,3.39,20.34
536375,20101201,17850,1532,1,2,7.65,15.3
536375,20101201,17850,682,1,6,4.25,25.5
536376,20101201,15291,944,1,48,3.45,165.60000000000002
536376,20101201,15291,684,1,64,2.55,163.2
536377,20101201,17850,1416,1,6,1.85,11.100000000000001
536377,20101201,17850,1417,1,6,1.85,11.100000000000001
536378,20101201,14688,1188,1,10,1.95,19.5
536378,20101201,14688,3345,1,10,1.95,19.5
536378,20101201,14688,244,1,10,2.95,29.5
536378,20101201,14688,99,1,10,0.85,8.5
536378,20101201,14688,3288,1,12,3.75,45.0
536378,20101201,14688,3289,1,6,3.75,22.5
536378,20101201,14688,279,1,12,0.85,10.2
536378,20101201,14688,101,1,10,1.65,16.5
536378,20101201,14688,569,1,6,2.55,15.299999999999999
536378,20101201,14688,1158,1,6,2.55,15.299999999999999
536378,20101201,14688,354,1,120,0.42,50.4
536378,20101201,14688,839,1,24,0.55,13.200000000000001
536378,20101201,14688,841,1,24,0.55,13.200000000000001
536378,20101201,14688,2632,1,24,0.55,13.200000000000001
536378,20101201,14688,3134,1,6,2.95,17.700000000000003
536378,20101201,14688,3393,1,48,1.25,60.0
536378,20101201,14688,3340,1,96,0.38,36.480000000000004
536378,20101201,14688,819,1,10,1.95,19.5
536378,20101201,14688,817,1,10,1.95,19.5
536380,20101201,17809,1733,1,24,1.45,34.8
536381,20101201,15311,967,1,23,4.25,97.75
536381,20101201,15311,2601,1,5,4.95,24.75
536381,20101201,15311,1207,1,10,1.95,19.5
536381,20101201,15311,2484,1,2,2.1,4.2
536381,20101201,15311,636,1,6,1.25,7.5
536381,20101201,15311,1554,1,24,1.25,30.0
536381,20101201,15311,1551,1,24,1.25,30.0
536381,20101201,15311,2429,1,1,1.25,1.25
536381,20101201,15311,1072,1,1,0.85,0.85
536381,20101201,15311,1421,1,1,2.55,2.55
536381,20101201,15311,822,1,10,1.65,16.5
536381,20101201,15311,324,1,3,1.69,5.07
536381,20101201,15311,322,1,1,1.95,1.95
536381,20101201,15311,328,1,2,2.1,4.2
536381,20101201,15311,2911,1,1,2.95,2.95
536381,20101201,15311,2913,1,1,2.95,2.95
536381,20101201,15311,916,1,4,2.95,11.8
536381,20101201,15311,913,1,1,2.95,2.95
536381,20101201,15311,3279,1,6,0.85,5.1
536381,20101201,15311,2429,1,3,1.25,3.75
536381,20101201,15311,2409,1,2,2.55,5.1
536381,20101201,15311,1071,1,1,0.85,0.85
536381,20101201,15311,2595,1,1,0.85,0.85
536381,20101201,15311,1428,1,1,1.45,1.45
536381,20101201,15311,557,1,1,4.95,4.95
536381,20101201,15311,567,1,2,2.95,5.9
536381,20101201,15311,2793,1,2,5.95,11.9
536381,20101201,15311,2794,1,2,5.95,11.9
536381,20101201,15311,1430,1,4,1.45,5.8
536381,20101201,15311,999,1,1,2.95,2.95
536381,20101201,15311,1234,1,1,1.95,1.95
536381,20101201,15311,683,1,2,1.65,3.3
536381,20101201,15311,1558,1,3,3.95,11.850000000000001
536381,20101201,15311,1500,1,36,1.06,38.160000000000004
536381,20101201,15311,551,1,10,6.75,67.5
536382,20101201,16098,1,1,12,0.85,10.2
536382,20101201,16098,805,1,8,3.75,30.0
536382,20101201,16098,750,1,12,1.65,19.799999999999997
536382,20101201,16098,1207,1,10,1.95,19.5
536382,20101201,16098,1181,1,10,2.1,21.0
536382,20101201,16098,1183,1,50,1.85,92.5
536382,20101201,16098,1575,1,8,2.95,23.6
536382,20101201,16098,1506,1,4,3.75,15.0
536382,20101201,16098,1699,1,12,5.95,71.4
536382,20101201,16098,1615,1,2,14.95,29.9
536382,20101201,16098,1614,1,2,14.95,29.9
536382,20101201,16098,1563,1,4,16.95,67.8
536384,20101201,18074,2480,1,3,6.45,19.35
536384,20101201,18074,2576,1,48,0.65,31.200000000000003
536384,20101201,18074,1257,1,12,1.65,19.799999999999997
536384,20101201,18074,422,1,6,2.95,17.700000000000003
536384,20101201,18074,1252,1,12,2.95,35.400000000000006
536384,20101201,18074,1262,1,40,1.45,58.0
536384,20101201,18074,1263,1,40,2.55,102.0
536384,20101201,18074,1043,1,6,2.95,17.700000000000003
536384,20101201,18074,431,1,2,12.75,25.5
536384,20101201,18074,1011,1,4,3.95,15.8
536384,20101201,18074,1223,1,3,5.95,17.85
536384,20101201,18074,1224,1,6,6.95,41.7
536384,20101201,18074,1220,1,8,10.95,87.6
536385,20101201,17420,1563,1,1,19.95,19.95
536385,20101201,17420,1733,1,12,1.45,17.4
536385,20101201,17420,1732,1,6,4.25,25.5
536385,20101201,17420,1444,1,10,1.95,19.5
536385,20101201,17420,3330,1,12,1.25,15.0
536385,20101201,17420,992,1,2,8.5,17.0
536385,20101201,17420,1443,1,10,1.65,16.5
536386,20101201,16029,2604,1,36,4.95,178.20000000000002
536386,20101201,16029,3345,1,100,1.65,165.0
536386,20101201,16029,3344,1,100,1.65,165.0
536387,20101201,16029,2470,1,192,3.82,733.4399999999999
536387,20101201,16029,1560,1,192,3.37,647.04
536387,20101201,16029,1559,1,192,3.37,647.04
536387,20101201,16029,1259,1,432,1.45,626.4
536387,20101201,16029,683,1,432,1.25,540.0
536388,20101201,16250,698,1,3,5.95,17.85
536388,20101201,16250,699,1,3,5.95,17.85
536388,20101201,16250,551,1,2,7.95,15.9
536388,20101201,16250,445,1,3,4.95,14.850000000000001
536388,20101201,16250,484,1,3,4.25,12.75
536388,20101201,16250,1126,1,6,2.95,17.700000000000003
536388,20101201,16250,1257,1,12,1.65,19.799999999999997
536388,20101201,16250,1688,1,12,0.42,5.04
536388,20101201,16250,1695,1,12,0.85,10.2
536388,20101201,16250,1741,1,12,1.45,17.4
536388,20101201,16250,1696,1,12,0.85,10.2
536388,20101201,16250,292,1,4,6.75,27.0
536388,20101201,16250,1262,1,12,1.65,19.799999999999997
536388,20101201,16250,1053,1,12,1.65,19.799999999999997
536389,20101201,12431,1714,3,6,8.5,51.0
536389,20101201,12431,596,3,8,4.95,39.6
536389,20101201,12431,719,3,12,1.25,15.0
536389,20101201,12431,2859,3,6,5.45,32.7
536389,20101201,12431,2860,3,4,6.35,25.4
536389,20101201,12431,3292,3,6,5.95,35.7
536389,20101201,12431,3291,3,3,5.95,17.85
536389,20101201,12431,1015,3,2,8.5,17.0
536389,20101201,12431,1506,3,4,3.75,15.0
536389,20101201,12431,1507,3,4,3.75,15.0
536389,20101201,12431,1014,3,2,8.5,17.0
536389,20101201,12431,1013,3,2,8.5,17.0
536389,20101201,12431,1017,3,24,1.65,39.599999999999994
536389,20101201,12431,1018,3,24,0.85,20.4
536390,20101201,17511,1714,1,2,8.5,17.0
536390,20101201,17511,1732,1,12,3.75,45.0
536390,20101201,17511,1733,1,12,1.45,17.4
536390,20101201,17511,1734,1,48,0.72,34.56
536390,20101201,17511,1735,1,48,0.72,34.56
536390,20101201,17511,1740,1,8,8.5,68.0
536390,20101201,17511,3278,1,144,0.64,92.16
536390,20101201,17511,1683,1,40,2.55,102.0
536390,20101201,17511,64,1,288,0.1,28.8
536390,20101201,17511,3350,1,64,2.55,163.2
536390,20101201,17511,1019,1,100,0.72,72.0
536390,20101201,17511,1020,1,50,1.45,72.5
536390,20101201,17511,557,1,12,4.25,51.0
536390,20101201,17511,272,1,96,0.64,61.44
536390,20101201,17511,279,1,96,0.64,61.44
536390,20101201,17511,274,1,48,0.65,31.200000000000003
536390,20101201,17511,714,1,144,0.32,46.08
536390,20101201,17511,1437,1,40,4.95,198.0
536390,20101201,17511,533,1,24,4.25,102.0
536390,20101201,17511,3085,1,24,3.39,81.36
536390,20101201,17511,3086,1,24,3.75,90.0
536390,20101201,17511,997,1,48,1.48,71.03999999999999
536390,20101201,17511,1741,1,96,1.25,120.0
536390,20101201,17511,3344,1,100,1.65,165.0
536392,20101201,13705,976,1,6,1.95,11.7
536392,20101201,13705,1403,1,4,3.75,15.0
536392,20101201,13705,786,1,12,1.25,15.0
536392,20101201,13705,784,1,12,1.25,15.0
536392,20101201,13705,1604,1,1,165.0,165.0
536392,20101201,13705,955,1,12,1.25,15.0
536392,20101201,13705,956,1,12,1.25,15.0
536392,20101201,13705,1293,1,4,5.95,23.8
536392,20101201,13705,2603,1,16,1.69,27.04
536392,20101201,13705,1145,1,24,0.65,15.600000000000001
536393,20101201,13747,1002,1,8,9.95,79.6
536394,20101201,13408,544,1,24,0.42,10.08
536394,20101201,13408,1417,1,96,1.85,177.60000000000002
536394,20101201,13408,1640,1,96,1.85,177.60000000000002
536394,20101201,13408,1639,1,96,1.85,177.60000000000002
536394,20101201,13408,1416,1,96,1.85,177.60000000000002
536394,20101201,13408,533,1,12,4.95,59.400000000000006
536394,20101201,13408,1155,1,12,3.75,45.0
536394,20101201,13408,1344,1,48,1.25,60.0
536394,20101201,13408,2677,1,12,2.1,25.200000000000003
536394,20101201,13408,3350,1,32,2.55,81.6
536394,20101201,13408,1435,1,20,1.65,33.0
536395,20101201,13767,1010,1,8,3.95,31.6
536395,20101201,13767,2603,1,32,1.69,54.08
536395,20101201,13767,841,1,24,0.55,13.200000000000001
536395,20101201,13767,2632,1,24,0.55,13.200000000000001
536395,20101201,13767,354,1,24,0.55,13.200000000000001
536395,20101201,13767,532,1,8,3.45,27.6
536395,20101201,13767,416,1,8,2.1,16.8
536395,20101201,13767,1510,1,4,3.75,15.0
536395,20101201,13767,1507,1,8,3.75,30.0
536395,20101201,13767,1509,1,8,3.75,30.0
536395,20101201,13767,1506,1,8,3.75,30.0
536395,20101201,13767,944,1,8,3.95,31.6
536395,20101201,13767,1641,1,48,2.1,100.80000000000001
536395,20101201,13767,1640,1,48,2.1,100.80000000000001
536396,20101201,17850,3350,1,6,2.55,15.299999999999999
536396,20101201,17850,2426,1,6,3.39,20.34
536396,20101201,17850,3115,1,8,2.75,22.0
536396,20101201,17850,2793,1,6,4.95,29.700000000000003
536396,20101201,17850,73,1,6,4.95,29.700000000000003
536396,20101201,17850,2370,1,6,1.06,6.36
536396,20101201,17850,769,1,6,1.06,6.36
536396,20101201,17850,270,1,6,1.06,6.36
536396,20101201,17850,267,1,6,1.06,6.36
536396,20101201,17850,2479,1,2,4.95,9.9
536396,20101201,17850,2481,1,4,6.95,27.8
536396,20101201,17850,2478,1,6,2.1,12.600000000000001
536396,20101201,17850,3077,1,12,2.55,30.599999999999998
536396,20101201,17850,3085,1,6,3.39,20.34
536396,20101201,17850,3084,1,6,3.39,20.34
536396,20101201,17850,1532,1,2,7.65,15.3
536396,20101201,17850,1580,1,2,35.75,71.5
536396,20101201,17850,682,1,6,4.25,25.5
536397,20101201,17924,2858,1,12,4.65,55.800000000000004
536397,20101201,17924,2859,1,48,4.65,223.20000000000002
536398,20101201,13448,842,1,24,0.29,6.959999999999999
536398,20101201,13448,756,1,6,2.95,17.700000000000003
536398,20101201,13448,1261,1,4,6.75,27.0
536398,20101201,13448,1421,1,8,2.55,20.4
536398,20101201,13448,1532,1,6,8.5,51.0
536398,20101201,13448,2416,1,2,7.95,15.9
536398,20101201,13448,1416,1,12,2.1,25.200000000000003
536398,20101201,13448,1640,1,12,2.1,25.200000000000003
536398,20101201,13448,1639,1,12,2.1,25.200000000000003
536398,20101201,13448,368,1,12,1.25,15.0
536398,20101201,13448,894,1,12,1.65,19.799999999999997
536398,20101201,13448,1245,1,6,3.35,20.1
536398,20101201,13448,944,1,4,3.95,15.8
536398,20101201,13448,1612,1,8,4.65,37.2
536398,20101201,13448,942,1,9,4.95,44.550000000000004
536398,20101201,13448,530,1,4,3.75,15.0
536398,20101201,13448,941,1,9,4.95,44.550000000000004
536399,20101201,17850,1416,1,6,1.85,11.100000000000001
536399,20101201,17850,1417,1,6,1.85,11.100000000000001
536400,20101201,13448,1741,1,12,1.45,17.4
536401,20101201,15862,940,1,1,2.55,2.55
536401,20101201,15862,928,1,1,1.25,1.25
536401,20101201,15862,930,1,2,1.25,2.5
536401,20101201,15862,1546,1,1,2.95,2.95
536401,20101201,15862,1247,1,1,3.35,3.35
536401,20101201,15862,1336,1,1,1.45,1.45
536401,20101201,15862,2572,1,1,1.25,1.25
536401,20101201,15862,3334,1,2,1.25,2.5
536401,20101201,15862,425,1,1,1.65,1.65
536401,20101201,15862,1733,1,4,1.45,5.8
536401,20101201,15862,2843,1,1,1.25,1.25
536401,20101201,15862,1266,1,1,4.95,4.95
536401,20101201,15862,3126,1,2,3.75,7.5
536401,20101201,15862,3131,1,2,1.25,2.5
536401,20101201,15862,1547,1,2,9.95,19.9
536401,20101201,15862,1548,1,1,9.95,9.95
536401,20101201,15862,518,1,1,5.95,5.95
536401,20101201,15862,519,1,1,4.25,4.25
536401,20101201,15862,152,1,3,4.95,14.850000000000001
536401,20101201,15862,2676,1,1,2.55,2.55
536401,20101201,15862,947,1,1,2.95,2.95
536401,20101201,15862,324,1,2,1.69,3.38
536401,20101201,15862,2413,1,1,7.95,7.95
536401,20101201,15862,2486,1,1,0.55,0.55
536401,20101201,15862,2485,1,1,0.55,0.55
536401,20101201,15862,2487,1,2,0.55,1.1
536401,20101201,15862,1209,1,4,2.95,11.8
536401,20101201,15862,801,1,2,2.1,4.2
536401,20101201,15862,1237,1,1,2.1,2.1
536401,20101201,15862,296,1,1,1.25,1.25
536401,20101201,15862,1626,1,1,0.85,0.85
536401,20101201,15862,2632,1,3,0.55,1.6500000000000001
536401,20101201,15862,1587,1,1,2.95,2.95
536401,20101201,15862,1586,1,1,2.95,2.95
536401,20101201,15862,1231,1,2,1.25,2.5
536401,20101201,15862,205,1,3,1.25,3.75
536401,20101201,15862,203,1,1,1.25,1.25
536401,20101201,15862,202,1,1,1.25,1.25
536401,20101201,15862,898,1,2,1.65,3.3
536401,20101201,15862,691,1,2,2.95,5.9
536401,20101201,15862,692,1,2,2.95,5.9
536401,20101201,15862,3185,1,1,5.95,5.95
536401,20101201,15862,585,1,1,1.25,1.25
536401,20101201,15862,582,1,2,2.55,5.1
536401,20101201,15862,224,1,9,0.85,7.6499999999999995
536401,20101201,15862,1443,1,1,1.65,1.65
536401,20101201,15862,3350,1,4,2.95,11.8
536401,20101201,15862,1581,1,3,2.95,8.850000000000001
536401,20101201,15862,2479,1,1,5.95,5.95
536401,20101201,15862,109,1,1,7.95,7.95
536401,20101201,15862,101,1,1,1.65,1.65
536401,20101201,15862,1184,1,2,1.65,3.3
536401,20101201,15862,102,1,1,1.65,1.65
536401,20101201,15862,1186,1,1,1.65,1.65
536401,20101201,15862,1260,1,5,2.55,12.75
536401,20101201,15862,3168,1,3,2.95,8.850000000000001
536401,20101201,15862,3167,1,3,2.95,8.850000000000001
536401,20101201,15862,286,1,9,2.55,22.95
536401,20101201,15862,1624,1,1,16.95,16.95
536401,20101201,15862,244,1,4,2.95,11.8
536401,20101201,15862,2975,1,1,10.65,10.65
536401,20101201,15862,3086,1,1,4.25,4.25
536401,20101201,15862,1224,1,2,6.95,13.9
536401,20101201,15862,1293,1,2,5.95,11.9
536402,20101201,15513,916,1,40,2.55,102.0
536402,20101201,15513,1683,1,40,2.55,102.0
536402,20101201,15513,1613,1,36,4.25,153.0
536403,20101201,12791,1641,4,96,1.85,177.60000000000002
536403,20101201,12791,3665,4,1,15.0,15.0
536404,20101201,16218,1106,1,24,1.25,30.0
536404,20101201,16218,1551,1,12,1.25,15.0
536404,20101201,16218,1552,1,12,1.25,15.0
536404,20101201,16218,1553,1,12,1.25,15.0
536404,20101201,16218,1582,1,12,1.25,15.0
536404,20101201,16218,1262,1,12,1.65,19.799999999999997
536404,20101201,16218,1019,1,36,0.85,30.599999999999998
536404,20101201,16218,299,1,12,1.25,15.0
536404,20101201,16218,300,1,12,1.25,15.0
536404,20101201,16218,3332,1,12,1.25,15.0
536404,20101201,16218,3333,1,12,1.25,15.0
536404,20101201,16218,3334,1,12,1.25,15.0
536404,20101201,16218,3336,1,12,1.25,15.0
536404,20101201,16218,260,1,12,0.85,10.2
536404,20101201,16218,262,1,12,0.85,10.2
536404,20101201,16218,261,1,12,0.85,10.2
536404,20101201,16218,2517,1,12,1.25,15.0
536404,20101201,16218,2516,1,12,1.25,15.0
536404,20101201,16218,1736,1,12,2.1,25.200000000000003
536404,20101201,16218,355,1,24,0.55,13.200000000000001
536404,20101201,16218,1213,1,24,0.55,13.200000000000001
536404,20101201,16218,354,1,24,0.55,13.200000000000001
536404,20101201,16218,2633,1,24,0.55,13.200000000000001
536404,20101201,16218,839,1,24,0.55,13.200000000000001
536404,20101201,16218,1185,1,10,1.65,16.5
536404,20101201,16218,104,1,10,1.65,16.5
536404,20101201,16218,103,1,10,1.65,16.5
536404,20101201,16218,1105,1,24,1.65,39.599999999999994
536405,20101201,14045,193,1,128,2.55,326.4
536406,20101201,17850,3350,1,8,2.55,20.4
536406,20101201,17850,2426,1,8,3.39,27.12
536406,20101201,17850,3115,1,8,2.75,22.0
536406,20101201,17850,73,1,6,4.95,29.700000000000003
536406,20101201,17850,2370,1,6,1.06,6.36
536406,20101201,17850,769,1,6,1.06,6.36
536406,20101201,17850,270,1,6,1.06,6.36
536406,20101201,17850,267,1,6,1.06,6.36
536406,20101201,17850,2479,1,4,4.95,19.8
536406,20101201,17850,2481,1,4,6.95,27.8
536406,20101201,17850,2478,1,6,2.1,12.600000000000001
536406,20101201,17850,3077,1,6,2.55,15.299999999999999
536406,20101201,17850,3085,1,6,3.39,20.34
536406,20101201,17850,3084,1,6,3.39,20.34
536406,20101201,17850,1532,1,2,7.65,15.3
536406,20101201,17850,1580,1,2,35.75,71.5
536406,20101201,17850,682,1,6,4.25,25.5
536407,20101201,17850,1416,1,6,1.85,11.100000000000001
536407,20101201,17850,1417,1,6,1.85,11.100000000000001
536408,20101201,14307,1325,1,24,0.42,10.08
536408,20101201,14307,1321,1,24,0.42,10.08
536408,20101201,14307,219,1,12,0.85,10.2
536408,20101201,14307,750,1,12,1.65,19.799999999999997
536408,20101201,14307,808,1,12,1.25,15.0
536408,20101201,14307,807,1,12,1.25,15.0
536408,20101201,14307,563,1,12,0.85,10.2
536408,20101201,14307,1590,1,12,1.95,23.4
536408,20101201,14307,944,1,4,3.95,15.8
536408,20101201,14307,3084,1,4,3.75,15.0
536408,20101201,14307,530,1,4,3.75,15.0
536408,20101201,14307,1736,1,6,2.1,12.600000000000001
536408,20101201,14307,2515,1,12,2.1,25.200000000000003
536408,20101201,14307,1214,1,24,0.85,20.4
536408,20101201,14307,1000,1,12,1.25,15.0
536408,20101201,14307,3277,1,12,0.95,11.399999999999999
536408,20101201,14307,684,1,6,2.95,17.700000000000003
536408,20101201,14307,1258,1,12,1.65,19.799999999999997
536408,20101201,14307,2622,1,6,1.65,9.899999999999999
536408,20101201,14307,77,1,2,7.95,15.9
536408,20101201,14307,2419,1,2,7.95,15.9
536408,20101201,14307,1280,1,12,1.65,19.799999999999997
536408,20101201,14307,1038,1,12,0.85,10.2
536408,20101201,14307,2603,1,8,1.69,13.52
536408,20101201,14307,698,1,3,5.95,17.85
536408,20101201,14307,699,1,3,5.95,17.85
536408,20101201,14307,1546,1,8,2.95,23.6
536408,20101201,14307,1395,1,36,0.85,30.599999999999998
536408,20101201,14307,1497,1,12,0.42,5.04
536408,20101201,14307,1487,1,25,0.42,10.5
536408,20101201,14307,1174,1,4,4.25,17.0
536408,20101201,14307,3292,1,3,5.95,17.85
536408,20101201,14307,3291,1,3,5.95,17.85
536408,20101201,14307,3288,1,6,3.75,22.5
536408,20101201,14307,354,1,24,0.55,13.200000000000001
536408,20101201,14307,352,1,12,1.45,17.4
536408,20101201,14307,1687,1,3,4.95,14.850000000000001
536408,20101201,14307,1339,1,12,1.65,19.799999999999997
536408,20101201,14307,33,1,30,0.21,6.3
536408,20101201,14307,1495,1,12,0.42,5.04
536408,20101201,14307,1589,1,12,1.95,23.4
536408,20101201,14307,2510,1,6,2.55,15.299999999999999
536408,20101201,14307,582,1,12,2.55,30.599999999999998
536408,20101201,14307,1516,1,10,1.65,16.5
536408,20101201,14307,1283,1,36,0.65,23.400000000000002
536408,20101201,14307,1404,1,12,1.25,15.0
536408,20101201,14307,1403,1,4,3.75,15.0
536408,20101201,14307,661,1,12,1.65,19.799999999999997
536409,20101201,17908,3606,1,3,6.35,19.049999999999997
536409,20101201,17908,530,1,1,3.75,3.75
536409,20101201,17908,941,1,1,4.95,4.95
536409,20101201,17908,1565,1,1,6.75,6.75
536409,20101201,17908,1747,1,1,1.25,1.25
536409,20101201,17908,1744,1,1,1.65,1.65
536409,20101201,17908,1640,1,1,2.1,2.1
536409,20101201,17908,1354,1,1,3.75,3.75
536409,20101201,17908,2668,1,1,2.1,2.1
536409,20101201,17908,1445,1,1,2.1,2.1
536409,20101201,17908,586,1,1,2.95,2.95
536409,20101201,17908,765,1,1,1.25,1.25
536409,20101201,17908,65,1,1,1.25,1.25
536409,20101201,17908,3531,1,1,2.95,2.95
536409,20101201,17908,3629,1,1,2.95,2.95
536409,20101201,17908,3606,1,1,6.35,6.35
536409,20101201,17908,834,1,1,7.95,7.95
536409,20101201,17908,3032,1,1,4.25,4.25
536409,20101201,17908,939,1,1,3.75,3.75
536409,20101201,17908,2668,1,5,2.1,10.5
536409,20101201,17908,1319,1,1,0.42,0.42
536409,20101201,17908,731,1,1,1.25,1.25
536409,20101201,17908,1005,1,1,6.75,6.75
536409,20101201,17908,641,1,6,0.85,5.1
536409,20101201,17908,639,1,6,0.85,5.1
536409,20101201,17908,3167,1,1,2.95,2.95
536409,20101201,17908,3168,1,3,2.95,8.850000000000001
536409,20101201,17908,819,1,2,1.95,3.9
536409,20101201,17908,3381,1,12,1.25,15.0
536409,20101201,17908,34,1,28,0.21,5.88
536409,20101201,17908,64,1,24,0.12,2.88
536409,20101201,17908,2608,1,1,5.95,5.95
536409,20101201,17908,766,1,1,1.25,1.25
536409,20101201,17908,905,1,1,1.65,1.65
536409,20101201,17908,423,1,12,0.65,7.800000000000001
536409,20101201,17908,264,1,1,5.95,5.95
536409,20101201,17908,904,1,1,1.65,1.65
536409,20101201,17908,1674,1,1,2.95,2.95
536409,20101201,17908,94,1,1,1.95,1.95
536409,20101201,17908,205,1,2,1.25,2.5
536409,20101201,17908,293,1,1,4.95,4.95
536409,20101201,17908,3606,1,2,6.35,12.7
536409,20101201,17908,1417,1,1,2.1,2.1
536409,20101201,17908,1020,1,1,1.65,1.65
536409,20101201,17908,744,1,3,1.45,4.35
536409,20101201,17908,743,1,3,1.45,4.35
536409,20101201,17908,979,1,6,0.42,2.52
536409,20101201,17908,1019,1,2,0.85,1.7
536409,20101201,17908,3344,1,2,1.95,3.9
536409,20101201,17908,3346,1,1,1.95,1.95
536409,20101201,17908,96,1,1,1.25,1.25
536409,20101201,17908,99,1,1,0.85,0.85
536409,20101201,17908,842,1,12,0.29,3.4799999999999995
536409,20101201,17908,942,1,1,4.95,4.95
536412,20101201,17920,104,1,3,1.65,4.949999999999999
536412,20101201,17920,1184,1,3,1.65,4.949999999999999
536412,20101201,17920,1134,1,1,2.95,2.95
536412,20101201,17920,1443,1,4,1.65,6.6
536412,20101201,17920,1185,1,3,1.65,4.949999999999999
536412,20101201,17920,103,1,3,1.65,4.949999999999999
536412,20101201,17920,1136,1,1,2.95,2.95
536412,20101201,17920,1135,1,1,2.95,2.95
536412,20101201,17920,1414,1,1,1.95,1.95
536412,20101201,17920,1413,1,1,1.95,1.95
536412,20101201,17920,375,1,1,1.69,1.69
536412,20101201,17920,374,1,1,1.69,1.69
536412,20101201,17920,372,1,1,1.69,1.69
536412,20101201,17920,373,1,1,1.69,1.69
536412,20101201,17920,1083,1,1,2.95,2.95
