InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Date,Month,Year,Hour
539101,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,2400,2010-12-16 10:35:00,0.94,16029,United Kingdom,2256.0,2010-12-16,2010-12,2010,10
539109,85123A,WHITE HANGING HEART T-LIGHT HOLDER,500,2010-12-16 11:07:00,2.55,16013,United Kingdom,1275.0,2010-12-16,2010-12,2010,11
539257,21137,BLACK RECORD COVER FRAME,480,2010-12-16 14:29:00,3.39,16210,United Kingdom,1627.2,2010-12-16,2010-12,2010,14
540160,22379,RECYCLING BAG RETROSPOT ,600,2011-01-05 11:50:00,1.85,15769,United Kingdom,1110.0,2011-01-05,2011-01,2011,11
540175,79321,CHILLI LIGHTS,480,2011-01-05 12:37:00,3.98,16532,United Kingdom,1910.4,2011-01-05,2011-01,2011,12
540267,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,240,2011-01-06 11:12:00,4.25,12415,Australia,1020.0,2011-01-06,2011-01,2011,11
540689,21733,RED HANGING HEART T-LIGHT HOLDER,860,2011-01-11 08:43:00,3.24,17450,United Kingdom,2786.4,2011-01-11,2011-01,2011,8
540689,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1010,2011-01-11 08:43:00,3.24,17450,United Kingdom,3272.4,2011-01-11,2011-01,2011,8
540689,22469,HEART OF WICKER SMALL,1356,2011-01-11 08:43:00,1.93,17450,United Kingdom,2617.08,2011-01-11,2011-01,2011,8
540689,22470,HEART OF WICKER LARGE,1284,2011-01-11 08:43:00,3.21,17450,United Kingdom,4121.64,2011-01-11,2011-01,2011,8
540698,21621,VINTAGE UNION JACK BUNTING,186,2011-01-11 09:24:00,8.87,17450,United Kingdom,1649.82,2011-01-11,2011-01,2011,9
540785,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,360,2011-01-11 11:39:00,3.39,12557,Spain,1220.4,2011-01-11,2011-01,2011,11
540785,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,360,2011-01-11 11:39:00,3.39,12557,Spain,1220.4,2011-01-11,2011-01,2011,11
540815,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1930,2011-01-11 12:55:00,2.55,15749,United Kingdom,4921.5,2011-01-11,2011-01,2011,12
540815,21175,GIN + TONIC DIET METAL SIGN,2000,2011-01-11 12:55:00,1.85,15749,United Kingdom,3700.0,2011-01-11,2011-01,2011,12
540815,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3114,2011-01-11 12:55:00,2.1,15749,United Kingdom,6539.400000000001,2011-01-11,2011-01,2011,12
540818,47556B,TEA TIME TEA TOWELS ,1300,2011-01-11 12:57:00,2.55,15749,United Kingdom,3314.9999999999995,2011-01-11,2011-01,2011,12
540818,48185,DOORMAT FAIRY CAKE,670,2011-01-11 12:57:00,6.75,15749,United Kingdom,4522.5,2011-01-11,2011-01,2011,12
541220,22423,REGENCY CAKESTAND 3 TIER,160,2011-01-14 14:11:00,10.95,14156,EIRE,1752.0,2011-01-14,2011-01,2011,14
541220,22838,3 TIER CAKE TIN RED AND CREAM,96,2011-01-14 14:11:00,12.75,14156,EIRE,1224.0,2011-01-14,2011-01,2011,14
541220,22840,ROUND CAKE TIN VINTAGE RED,144,2011-01-14 14:11:00,6.95,14156,EIRE,1000.8000000000001,2011-01-14,2011-01,2011,14
541431,23166,MEDIUM CERAMIC TOP STORAGE JAR,74215,2011-01-18 10:01:00,1.04,12346,United Kingdom,77183.6,2011-01-18,2011-01,2011,10
543047,21137,BLACK RECORD COVER FRAME,480,2011-02-03 09:42:00,3.39,16210,United Kingdom,1627.2,2011-02-03,2011-02,2011,9
543378,22189,CREAM HEART CARD HOLDER,504,2011-02-07 15:34:00,2.31,18102,United Kingdom,1164.24,2011-02-07,2011-02,2011,15
543378,21623,VINTAGE UNION JACK MEMOBOARD,504,2011-02-07 15:34:00,6.38,18102,United Kingdom,3215.52,2011-02-07,2011-02,2011,15
543379,82484,WOOD BLACK BOARD ANT WHITE FINISH,204,2011-02-07 15:37:00,4.77,18102,United Kingdom,973.0799999999999,2011-02-07,2011-02,2011,15
543379,22189,CREAM HEART CARD HOLDER,504,2011-02-07 15:37:00,2.31,18102,United Kingdom,1164.24,2011-02-07,2011-02,2011,15
543379,21623,VINTAGE UNION JACK MEMOBOARD,504,2011-02-07 15:37:00,6.38,18102,United Kingdom,3215.52,2011-02-07,2011-02,2011,15
543669,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,2400,2011-02-11 11:22:00,0.94,16029,United Kingdom,2256.0,2011-02-11,2011-02,2011,11
543842,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,1056,2011-02-14 11:22:00,1.06,16333,United Kingdom,1119.3600000000001,2011-02-14,2011-02,2011,11
544612,22053,EMPIRE DESIGN ROSETTE,3906,2011-02-22 10:43:00,0.82,18087,United Kingdom,3202.9199999999996,2011-02-22,2011-02,2011,10
544936,20749,ASSORTED COLOUR MINI CASES,204,2011-02-25 09:37:00,6.35,15769,United Kingdom,1295.3999999999999,2011-02-25,2011-02,2011,9
545320,22838,3 TIER CAKE TIN RED AND CREAM,96,2011-03-01 14:47:00,12.75,14156,EIRE,1224.0,2011-03-01,2011-03,2011,14
545341,22423,REGENCY CAKESTAND 3 TIER,150,2011-03-02 09:03:00,10.95,17949,United Kingdom,1642.5,2011-03-02,2011-03,2011,9
545466,21621,VINTAGE UNION JACK BUNTING,200,2011-03-03 09:26:00,6.98,18102,United Kingdom,1396.0,2011-03-03,2011-03,2011,9
545475,21217,RED RETROSPOT ROUND CAKE TINS,120,2011-03-03 10:59:00,8.95,12415,Australia,1074.0,2011-03-03,2011-03,2011,10
546067,22469,HEART OF WICKER SMALL,600,2011-03-09 10:58:00,1.93,17450,United Kingdom,1158.0,2011-03-09,2011-03,2011,10
546328,M,Manual,1,2011-03-11 10:19:00,1687.17,14911,EIRE,1687.17,2011-03-11,2011-03,2011,10
546329,M,Manual,1,2011-03-11 10:22:00,1687.17,14911,EIRE,1687.17,2011-03-11,2011-03,2011,10
546789,20711,JUMBO BAG TOYS ,600,2011-03-17 10:17:00,1.65,15769,United Kingdom,990.0,2011-03-17,2011-03,2011,10
546789,20713,JUMBO BAG OWLS,700,2011-03-17 10:17:00,1.65,15769,United Kingdom,1155.0,2011-03-17,2011-03,2011,10
546789,85099F,JUMBO BAG STRAWBERRY,900,2011-03-17 10:17:00,1.65,15769,United Kingdom,1485.0,2011-03-17,2011-03,2011,10
546789,22386,JUMBO BAG PINK POLKADOT,800,2011-03-17 10:17:00,1.65,15769,United Kingdom,1320.0,2011-03-17,2011-03,2011,10
546789,85099B,JUMBO BAG RED RETROSPOT,1200,2011-03-17 10:17:00,1.65,15769,United Kingdom,1980.0,2011-03-17,2011-03,2011,10
547706,22900, SET 2 TEA TOWELS I LOVE LONDON ,600,2011-03-24 18:25:00,2.32,12901,United Kingdom,1392.0,2011-03-24,2011-03,2011,18
547708,21897,POTTING SHED CANDLE CITRONELLA,342,2011-03-24 18:34:00,3.21,17450,United Kingdom,1097.82,2011-03-24,2011-03,2011,18
547708,21898,POTTING SHED ROSE CANDLE,378,2011-03-24 18:34:00,3.21,17450,United Kingdom,1213.3799999999999,2011-03-24,2011-03,2011,18
547708,21896,POTTING SHED TWINE,432,2011-03-24 18:34:00,2.4,17450,United Kingdom,1036.8,2011-03-24,2011-03,2011,18
547708,21259,VICTORIAN SEWING BOX SMALL ,192,2011-03-24 18:34:00,6.0,17450,United Kingdom,1152.0,2011-03-24,2011-03,2011,18
547708,85066,CREAM SWEETHEART MINI CHEST,160,2011-03-24 18:34:00,12.98,17450,United Kingdom,2076.8,2011-03-24,2011-03,2011,18
547812,82484,WOOD BLACK BOARD ANT WHITE FINISH,300,2011-03-25 14:06:00,4.77,18102,United Kingdom,1430.9999999999998,2011-03-25,2011-03,2011,14
547812,22507,MEMO BOARD RETROSPOT  DESIGN,304,2011-03-25 14:06:00,3.85,18102,United Kingdom,1170.4,2011-03-25,2011-03,2011,14
547812,22189,CREAM HEART CARD HOLDER,432,2011-03-25 14:06:00,2.31,18102,United Kingdom,997.9200000000001,2011-03-25,2011-03,2011,14
547812,21623,VINTAGE UNION JACK MEMOBOARD,300,2011-03-25 14:06:00,6.38,18102,United Kingdom,1914.0,2011-03-25,2011-03,2011,14
547941,21621,VINTAGE UNION JACK BUNTING,150,2011-03-28 14:46:00,7.45,16692,United Kingdom,1117.5,2011-03-28,2011-03,2011,14
548011,22629,SPACEBOY LUNCH BOX ,640,2011-03-29 11:14:00,1.65,14646,Netherlands,1056.0,2011-03-29,2011-03,2011,11
548011,22630,DOLLY GIRL LUNCH BOX,640,2011-03-29 11:14:00,1.65,14646,Netherlands,1056.0,2011-03-29,2011-03,2011,11
548633,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,864,2011-04-01 12:25:00,1.06,16333,United Kingdom,915.84,2011-04-01,2011-04,2011,12
548813,M,Manual,1,2011-04-04 13:03:00,2382.92,12744,Singapore,2382.92,2011-04-04,2011-04,2011,13
548813,M,Manual,1,2011-04-04 13:03:00,1252.95,12744,Singapore,1252.95,2011-04-04,2011-04,2011,13
548820,M,Manual,1,2011-04-04 13:04:00,2053.07,12744,Singapore,2053.07,2011-04-04,2011-04,2011,13
548913,M,Manual,1,2011-04-05 09:45:00,1136.3,12669,France,1136.3,2011-04-05,2011-04,2011,9
549027,22727,ALARM CLOCK BAKELIKE RED ,500,2011-04-05 17:02:00,3.39,17857,United Kingdom,1695.0,2011-04-05,2011-04,2011,17
549027,22728,ALARM CLOCK BAKELIKE PINK,500,2011-04-05 17:02:00,3.39,17857,United Kingdom,1695.0,2011-04-05,2011-04,2011,17
549027,22729,ALARM CLOCK BAKELIKE ORANGE,300,2011-04-05 17:02:00,3.39,17857,United Kingdom,1017.0,2011-04-05,2011-04,2011,17
549027,22726,ALARM CLOCK BAKELIKE GREEN,300,2011-04-05 17:02:00,3.39,17857,United Kingdom,1017.0,2011-04-05,2011-04,2011,17
549468,M,Manual,1,2011-04-08 14:27:00,1867.86,17940,United Kingdom,1867.86,2011-04-08,2011-04,2011,14
549925,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,1056,2011-04-13 10:12:00,1.06,16333,United Kingdom,1119.3600000000001,2011-04-13,2011-04,2011,10
550135,84997B,CHILDRENS CUTLERY RETROSPOT RED ,288,2011-04-14 13:52:00,3.39,15769,United Kingdom,976.32,2011-04-14,2011-04,2011,13
550461,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1930,2011-04-18 13:20:00,2.4,15749,United Kingdom,4632.0,2011-04-18,2011-04,2011,13
550461,47556B,TEA TIME TEA TOWELS ,1300,2011-04-18 13:20:00,2.1,15749,United Kingdom,2730.0,2011-04-18,2011-04,2011,13
550461,48185,DOORMAT FAIRY CAKE,670,2011-04-18 13:20:00,6.35,15749,United Kingdom,4254.5,2011-04-18,2011-04,2011,13
550461,21175,GIN + TONIC DIET METAL SIGN,2000,2011-04-18 13:20:00,1.69,15749,United Kingdom,3380.0,2011-04-18,2011-04,2011,13
550461,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3114,2011-04-18 13:20:00,2.1,15749,United Kingdom,6539.400000000001,2011-04-18,2011-04,2011,13
550608,22970,LONDON BUS COFFEE MUG,462,2011-04-19 12:19:00,2.1,12901,United Kingdom,970.2,2011-04-19,2011-04,2011,12
551166,21556,CERAMIC STRAWBERRY MONEY BOX,408,2011-04-26 16:01:00,2.25,17857,United Kingdom,918.0,2011-04-26,2011-04,2011,16
551259,22423,REGENCY CAKESTAND 3 TIER,150,2011-04-27 12:04:00,10.95,17949,United Kingdom,1642.5,2011-04-27,2011-04,2011,12
551697,POST,POSTAGE,1,2011-05-03 13:46:00,8142.75,16029,United Kingdom,8142.75,2011-05-03,2011-05,2011,13
552833,23167,SMALL CERAMIC TOP STORAGE JAR ,1350,2011-05-11 14:14:00,0.69,18133,United Kingdom,931.4999999999999,2011-05-11,2011-05,2011,14
552888,22423,REGENCY CAKESTAND 3 TIER,120,2011-05-12 10:23:00,10.95,15061,United Kingdom,1314.0,2011-05-12,2011-05,2011,10
552904,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,428,2011-05-12 11:07:00,2.75,16013,United Kingdom,1177.0,2011-05-12,2011-05,2011,11
553368,22783,SET 3 WICKER OVAL BASKETS W LIDS,80,2011-05-16 14:24:00,16.95,18102,United Kingdom,1356.0,2011-05-16,2011-05,2011,14
553368,23284,DOORMAT KEEP CALM AND COME IN,200,2011-05-16 14:24:00,4.58,18102,United Kingdom,916.0,2011-05-16,2011-05,2011,14
553368,20685,DOORMAT RED RETROSPOT,200,2011-05-16 14:24:00,4.58,18102,United Kingdom,916.0,2011-05-16,2011-05,2011,14
553470,23134,LARGE ZINC HEART WALL ORGANISER,200,2011-05-17 11:27:00,5.88,18102,United Kingdom,1176.0,2011-05-17,2011-05,2011,11
554071,22501,PICNIC BASKET WICKER LARGE,200,2011-05-22 11:17:00,8.5,13113,United Kingdom,1700.0,2011-05-22,2011-05,2011,11
554155,M,Manual,1,2011-05-23 11:26:00,1241.98,12757,Portugal,1241.98,2011-05-23,2011-05,2011,11
554272,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2700,2011-05-23 13:08:00,0.42,12901,United Kingdom,1134.0,2011-05-23,2011-05,2011,13
554301,M,Manual,1,2011-05-23 14:46:00,1241.98,12757,Portugal,1241.98,2011-05-23,2011-05,2011,14
554358,22470,HEART OF WICKER LARGE,408,2011-05-24 09:32:00,2.55,17450,United Kingdom,1040.3999999999999,2011-05-24,2011-05,2011,9
554358,21770,OPEN CLOSED METAL SIGN,420,2011-05-24 09:32:00,4.25,17450,United Kingdom,1785.0,2011-05-24,2011-05,2011,9
554366,22349,DOG BOWL CHASING BALL DESIGN,756,2011-05-24 10:24:00,4.18,17450,United Kingdom,3160.08,2011-05-24,2011-05,2011,10
554366,22350,ILLUSTRATED CAT BOWL ,888,2011-05-24 10:24:00,2.69,17450,United Kingdom,2388.72,2011-05-24,2011-05,2011,10
554366,22702,BLACK AND WHITE CAT BOWL,888,2011-05-24 10:24:00,2.4,17450,United Kingdom,2131.2,2011-05-24,2011-05,2011,10
554366,22700,BLACK AND WHITE DOG BOWL,552,2011-05-24 10:24:00,3.24,17450,United Kingdom,1788.48,2011-05-24,2011-05,2011,10
554642,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,960,2011-05-25 12:19:00,1.45,14646,Netherlands,1392.0,2011-05-25,2011-05,2011,12
554845,22469,HEART OF WICKER SMALL,738,2011-05-26 19:49:00,1.93,17450,United Kingdom,1424.34,2011-05-26,2011-05,2011,19
554845,22470,HEART OF WICKER LARGE,330,2011-05-26 19:49:00,3.21,17450,United Kingdom,1059.3,2011-05-26,2011-05,2011,19
554845,85123A,WHITE HANGING HEART T-LIGHT HOLDER,608,2011-05-26 19:49:00,3.24,17450,United Kingdom,1969.92,2011-05-26,2011-05,2011,19
554868,22197,SMALL POPCORN HOLDER,4300,2011-05-27 10:52:00,0.72,13135,United Kingdom,3096.0,2011-05-27,2011-05,2011,10
555478,21137,BLACK RECORD COVER FRAME,336,2011-06-03 12:28:00,3.39,13777,United Kingdom,1139.04,2011-06-03,2011-06,2011,12
555490,22423,REGENCY CAKESTAND 3 TIER,120,2011-06-03 13:50:00,10.95,17949,United Kingdom,1314.0,2011-06-03,2011-06,2011,13
555920,22783,SET 3 WICKER OVAL BASKETS W LIDS,74,2011-06-07 16:35:00,12.48,18102,United Kingdom,923.52,2011-06-07,2011-06,2011,16
555920,48138,DOORMAT UNION FLAG,200,2011-06-07 16:35:00,4.58,18102,United Kingdom,916.0,2011-06-07,2011-06,2011,16
555920,48173C,DOORMAT BLACK FLOCK ,200,2011-06-07 16:35:00,4.58,18102,United Kingdom,916.0,2011-06-07,2011-06,2011,16
555920,48188,DOORMAT WELCOME PUPPIES,200,2011-06-07 16:35:00,4.58,18102,United Kingdom,916.0,2011-06-07,2011-06,2011,16
555920,22690,DOORMAT HOME SWEET HOME BLUE ,200,2011-06-07 16:35:00,4.58,18102,United Kingdom,916.0,2011-06-07,2011-06,2011,16
555920,21523,DOORMAT FANCY FONT HOME SWEET HOME,200,2011-06-07 16:35:00,4.58,18102,United Kingdom,916.0,2011-06-07,2011-06,2011,16
555920,48185,DOORMAT FAIRY CAKE,200,2011-06-07 16:35:00,4.58,18102,United Kingdom,916.0,2011-06-07,2011-06,2011,16
555920,21955,DOORMAT UNION JACK GUNS AND ROSES,200,2011-06-07 16:35:00,4.58,18102,United Kingdom,916.0,2011-06-07,2011-06,2011,16
555920,48194,DOORMAT HEARTS,200,2011-06-07 16:35:00,4.58,18102,United Kingdom,916.0,2011-06-07,2011-06,2011,16
555920,48187,DOORMAT NEW ENGLAND,200,2011-06-07 16:35:00,4.58,18102,United Kingdom,916.0,2011-06-07,2011-06,2011,16
555920,20685,DOORMAT RED RETROSPOT,200,2011-06-07 16:35:00,4.58,18102,United Kingdom,916.0,2011-06-07,2011-06,2011,16
555920,23284,DOORMAT KEEP CALM AND COME IN,200,2011-06-07 16:35:00,4.58,18102,United Kingdom,916.0,2011-06-07,2011-06,2011,16
556255,48138,DOORMAT UNION FLAG,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,2011-06-09,2011-06,2011,17
556255,48173C,DOORMAT BLACK FLOCK ,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,2011-06-09,2011-06,2011,17
556255,48188,DOORMAT WELCOME PUPPIES,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,2011-06-09,2011-06,2011,17
556255,22690,DOORMAT HOME SWEET HOME BLUE ,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,2011-06-09,2011-06,2011,17
556255,21523,DOORMAT FANCY FONT HOME SWEET HOME,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,2011-06-09,2011-06,2011,17
556255,48185,DOORMAT FAIRY CAKE,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,2011-06-09,2011-06,2011,17
556255,21955,DOORMAT UNION JACK GUNS AND ROSES,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,2011-06-09,2011-06,2011,17
556255,48116,DOORMAT MULTICOLOUR STRIPE,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,2011-06-09,2011-06,2011,17
556255,48194,DOORMAT HEARTS,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,2011-06-09,2011-06,2011,17
556255,48187,DOORMAT NEW ENGLAND,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,2011-06-09,2011-06,2011,17
556255,20685,DOORMAT RED RETROSPOT,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,2011-06-09,2011-06,2011,17
556255,23284,DOORMAT KEEP CALM AND COME IN,300,2011-06-09 17:27:00,4.58,18102,United Kingdom,1374.0,2011-06-09,2011-06,2011,17
556444,22502,PICNIC BASKET WICKER 60 PIECES,60,2011-06-10 15:28:00,649.5,15098,United Kingdom,38970.0,2011-06-10,2011-06,2011,15
556574,21137,BLACK RECORD COVER FRAME,360,2011-06-13 13:41:00,3.39,16209,United Kingdom,1220.4,2011-06-13,2011-06,2011,13
556718,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,660,2011-06-14 11:02:00,2.75,16013,United Kingdom,1815.0,2011-06-14,2011-06,2011,11
556725,22783,SET 3 WICKER OVAL BASKETS W LIDS,200,2011-06-14 11:28:00,12.48,18102,United Kingdom,2496.0,2011-06-14,2011-06,2011,11
556726,82484,WOOD BLACK BOARD ANT WHITE FINISH,204,2011-06-14 11:31:00,4.8,18102,United Kingdom,979.1999999999999,2011-06-14,2011-06,2011,11
556726,23135,SMALL ZINC HEART WALL ORGANISER,300,2011-06-14 11:31:00,3.32,18102,United Kingdom,996.0,2011-06-14,2011-06,2011,11
556726,23134,LARGE ZINC HEART WALL ORGANISER,304,2011-06-14 11:31:00,5.88,18102,United Kingdom,1787.52,2011-06-14,2011-06,2011,11
556726,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,204,2011-06-14 11:31:00,5.88,18102,United Kingdom,1199.52,2011-06-14,2011-06,2011,11
556726,21623,VINTAGE UNION JACK MEMOBOARD,204,2011-06-14 11:31:00,6.4,18102,United Kingdom,1305.6000000000001,2011-06-14,2011-06,2011,11
556917,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,240,2011-06-15 13:37:00,4.15,12415,Australia,996.0000000000001,2011-06-15,2011-06,2011,13
556917,23245,SET OF 3 REGENCY CAKE TINS,240,2011-06-15 13:37:00,4.15,12415,Australia,996.0000000000001,2011-06-15,2011-06,2011,13
557125,22722,SET OF 6 SPICE TINS PANTRY DESIGN,264,2011-06-16 18:40:00,3.45,17450,United Kingdom,910.8000000000001,2011-06-16,2011-06,2011,18
558526,22699,ROSES REGENCY TEACUP AND SAUCER ,768,2011-06-30 11:01:00,2.55,17949,United Kingdom,1958.3999999999999,2011-06-30,2011-06,2011,11
558526,23170,REGENCY TEA PLATE ROSES ,720,2011-06-30 11:01:00,1.45,17949,United Kingdom,1044.0,2011-06-30,2011-06,2011,11
558526,23171,REGENCY TEA PLATE GREEN ,768,2011-06-30 11:01:00,1.45,17949,United Kingdom,1113.6,2011-06-30,2011-06,2011,11
558526,23173,REGENCY TEAPOT ROSES ,540,2011-06-30 11:01:00,8.15,17949,United Kingdom,4401.0,2011-06-30,2011-06,2011,11
558526,23174,REGENCY SUGAR BOWL GREEN,696,2011-06-30 11:01:00,3.75,17949,United Kingdom,2610.0,2011-06-30,2011-06,2011,11
558526,23175,REGENCY MILK JUG PINK ,696,2011-06-30 11:01:00,2.75,17949,United Kingdom,1914.0,2011-06-30,2011-06,2011,11
558554,23245,SET OF 3 REGENCY CAKE TINS,576,2011-06-30 12:50:00,4.15,17949,United Kingdom,2390.4,2011-06-30,2011-06,2011,12
558775,48173C,DOORMAT BLACK FLOCK ,300,2011-07-04 10:20:00,4.58,18102,United Kingdom,1374.0,2011-07-04,2011-07,2011,10
558775,48194,DOORMAT HEARTS,300,2011-07-04 10:20:00,4.58,18102,United Kingdom,1374.0,2011-07-04,2011-07,2011,10
558775,48188,DOORMAT WELCOME PUPPIES,300,2011-07-04 10:20:00,4.58,18102,United Kingdom,1374.0,2011-07-04,2011-07,2011,10
558775,48187,DOORMAT NEW ENGLAND,300,2011-07-04 10:20:00,4.58,18102,United Kingdom,1374.0,2011-07-04,2011-07,2011,10
558775,21523,DOORMAT FANCY FONT HOME SWEET HOME,300,2011-07-04 10:20:00,4.58,18102,United Kingdom,1374.0,2011-07-04,2011-07,2011,10
558775,20685,DOORMAT RED RETROSPOT,200,2011-07-04 10:20:00,4.58,18102,United Kingdom,916.0,2011-07-04,2011-07,2011,10
558776,48173C,DOORMAT BLACK FLOCK ,200,2011-07-04 10:20:00,4.58,18102,United Kingdom,916.0,2011-07-04,2011-07,2011,10
558776,48194,DOORMAT HEARTS,200,2011-07-04 10:20:00,4.58,18102,United Kingdom,916.0,2011-07-04,2011-07,2011,10
558776,48188,DOORMAT WELCOME PUPPIES,200,2011-07-04 10:20:00,4.58,18102,United Kingdom,916.0,2011-07-04,2011-07,2011,10
558776,48187,DOORMAT NEW ENGLAND,200,2011-07-04 10:20:00,4.58,18102,United Kingdom,916.0,2011-07-04,2011-07,2011,10
558776,21523,DOORMAT FANCY FONT HOME SWEET HOME,200,2011-07-04 10:20:00,4.58,18102,United Kingdom,916.0,2011-07-04,2011-07,2011,10
558776,20685,DOORMAT RED RETROSPOT,200,2011-07-04 10:20:00,4.58,18102,United Kingdom,916.0,2011-07-04,2011-07,2011,10
558871,84997D,CHILDRENS CUTLERY POLKADOT PINK,360,2011-07-04 13:19:00,3.75,12557,Spain,1350.0,2011-07-04,2011-07,2011,13
558871,84997C,CHILDRENS CUTLERY POLKADOT BLUE,360,2011-07-04 13:19:00,3.75,12557,Spain,1350.0,2011-07-04,2011-07,2011,13
