DateKey,Date,Year,Month,MonthName,Quarter,MonthYear
20110327,2011-03-27,2011,3,March,Q1,2011-03
20110328,2011-03-28,2011,3,March,Q1,2011-03
20110329,2011-03-29,2011,3,March,Q1,2011-03
20110330,2011-03-30,2011,3,March,Q1,2011-03
20110331,2011-03-31,2011,3,March,Q1,2011-03
20110401,2011-04-01,2011,4,April,Q2,2011-04
20110402,2011-04-02,2011,4,April,Q2,2011-04
20110403,2011-04-03,2011,4,April,Q2,2011-04
20110404,2011-04-04,2011,4,April,Q2,2011-04
20110405,2011-04-05,2011,4,April,Q2,2011-04
20110406,2011-04-06,2011,4,April,Q2,2011-04
20110407,2011-04-07,2011,4,April,Q2,2011-04
20110408,2011-04-08,2011,4,April,Q2,2011-04
20110409,2011-04-09,2011,4,April,Q2,2011-04
20110410,2011-04-10,2011,4,April,Q2,2011-04
20110411,2011-04-11,2011,4,April,Q2,2011-04
20110412,2011-04-12,2011,4,April,Q2,2011-04
20110413,2011-04-13,2011,4,April,Q2,2011-04
20110414,2011-04-14,2011,4,April,Q2,2011-04
20110415,2011-04-15,2011,4,April,Q2,2011-04
20110416,2011-04-16,2011,4,April,Q2,2011-04
20110417,2011-04-17,2011,4,April,Q2,2011-04
20110418,2011-04-18,2011,4,April,Q2,2011-04
20110419,2011-04-19,2011,4,April,Q2,2011-04
20110420,2011-04-20,2011,4,April,Q2,2011-04
20110421,2011-04-21,2011,4,April,Q2,2011-04
20110422,2011-04-22,2011,4,April,Q2,2011-04
20110423,2011-04-23,2011,4,April,Q2,2011-04
20110424,2011-04-24,2011,4,April,Q2,2011-04
20110425,2011-04-25,2011,4,April,Q2,2011-04
20110426,2011-04-26,2011,4,April,Q2,2011-04
20110427,2011-04-27,2011,4,April,Q2,2011-04
20110428,2011-04-28,2011,4,April,Q2,2011-04
20110429,2011-04-29,2011,4,April,Q2,2011-04
20110430,2011-04-30,2011,4,April,Q2,2011-04
20110501,2011-05-01,2011,5,May,Q2,2011-05
20110502,2011-05-02,2011,5,May,Q2,2011-05
20110503,2011-05-03,2011,5,May,Q2,2011-05
20110504,2011-05-04,2011,5,May,Q2,2011-05
20110505,2011-05-05,2011,5,May,Q2,2011-05
20110506,2011-05-06,2011,5,May,Q2,2011-05
20110507,2011-05-07,2011,5,May,Q2,2011-05
20110508,2011-05-08,2011,5,May,Q2,2011-05
20110509,2011-05-09,2011,5,May,Q2,2011-05
20110510,2011-05-10,2011,5,May,Q2,2011-05
20110511,2011-05-11,2011,5,May,Q2,2011-05
20110512,2011-05-12,2011,5,May,Q2,2011-05
20110513,2011-05-13,2011,5,May,Q2,2011-05
20110514,2011-05-14,2011,5,May,Q2,2011-05
20110515,2011-05-15,2011,5,May,Q2,2011-05
20110516,2011-05-16,2011,5,May,Q2,2011-05
20110517,2011-05-17,2011,5,May,Q2,2011-05
20110518,2011-05-18,2011,5,May,Q2,2011-05
20110519,2011-05-19,2011,5,May,Q2,2011-05
20110520,2011-05-20,2011,5,May,Q2,2011-05
20110521,2011-05-21,2011,5,May,Q2,2011-05
20110522,2011-05-22,2011,5,May,Q2,2011-05
20110523,2011-05-23,2011,5,May,Q2,2011-05
20110524,2011-05-24,2011,5,May,Q2,2011-05
20110525,2011-05-25,2011,5,May,Q2,2011-05
20110526,2011-05-26,2011,5,May,Q2,2011-05
20110527,2011-05-27,2011,5,May,Q2,2011-05
20110528,2011-05-28,2011,5,May,Q2,2011-05
20110529,2011-05-29,2011,5,May,Q2,2011-05
20110530,2011-05-30,2011,5,May,Q2,2011-05
20110531,2011-05-31,2011,5,May,Q2,2011-05
20110601,2011-06-01,2011,6,June,Q2,2011-06
20110602,2011-06-02,2011,6,June,Q2,2011-06
20110603,2011-06-03,2011,6,June,Q2,2011-06
20110604,2011-06-04,2011,6,June,Q2,2011-06
20110605,2011-06-05,2011,6,June,Q2,2011-06
20110606,2011-06-06,2011,6,June,Q2,2011-06
20110607,2011-06-07,2011,6,June,Q2,2011-06
20110608,2011-06-08,2011,6,June,Q2,2011-06
20110609,2011-06-09,2011,6,June,Q2,2011-06
20110610,2011-06-10,2011,6,June,Q2,2011-06
20110611,2011-06-11,2011,6,June,Q2,2011-06
20110612,2011-06-12,2011,6,June,Q2,2011-06
20110613,2011-06-13,2011,6,June,Q2,2011-06
20110614,2011-06-14,2011,6,June,Q2,2011-06
20110615,2011-06-15,2011,6,June,Q2,2011-06
20110616,2011-06-16,2011,6,June,Q2,2011-06
20110617,2011-06-17,2011,6,June,Q2,2011-06
20110618,2011-06-18,2011,6,June,Q2,2011-06
20110619,2011-06-19,2011,6,June,Q2,2011-06
20110620,2011-06-20,2011,6,June,Q2,2011-06
20110621,2011-06-21,2011,6,June,Q2,2011-06
20110622,2011-06-22,2011,6,June,Q2,2011-06
20110623,2011-06-23,2011,6,June,Q2,2011-06
20110624,2011-06-24,2011,6,June,Q2,2011-06
20110625,2011-06-25,2011,6,June,Q2,2011-06
20110626,2011-06-26,2011,6,June,Q2,2011-06
20110627,2011-06-27,2011,6,June,Q2,2011-06
20110628,2011-06-28,2011,6,June,Q2,2011-06
20110629,2011-06-29,2011,6,June,Q2,2011-06
20110630,2011-06-30,2011,6,June,Q2,2011-06
20110701,2011-07-01,2011,7,July,Q3,2011-07
20110702,2011-07-02,2011,7,July,Q3,2011-07
20110703,2011-07-03,2011,7,July,Q3,2011-07
20110704,2011-07-04,2011,7,July,Q3,2011-07
20110705,2011-07-05,2011,7,July,Q3,2011-07
20110706,2011-07-06,2011,7,July,Q3,2011-07
20110707,2011-07-07,2011,7,July,Q3,2011-07
20110708,2011-07-08,2011,7,July,Q3,2011-07
20110709,2011-07-09,2011,7,July,Q3,2011-07
20110710,2011-07-10,2011,7,July,Q3,2011-07
20110711,2011-07-11,2011,7,July,Q3,2011-07
20110712,2011-07-12,2011,7,July,Q3,2011-07
20110713,2011-07-13,2011,7,July,Q3,2011-07
20110714,2011-07-14,2011,7,July,Q3,2011-07
20110715,2011-07-15,2011,7,July,Q3,2011-07
20110716,2011-07-16,2011,7,July,Q3,2011-07
20110717,2011-07-17,2011,7,July,Q3,2011-07
20110718,2011-07-18,2011,7,July,Q3,2011-07
20110719,2011-07-19,2011,7,July,Q3,2011-07
20110720,2011-07-20,2011,7,July,Q3,2011-07
20110721,2011-07-21,2011,7,July,Q3,2011-07
20110722,2011-07-22,2011,7,July,Q3,2011-07
20110723,2011-07-23,2011,7,July,Q3,2011-07
20110724,2011-07-24,2011,7,July,Q3,2011-07
20110725,2011-07-25,2011,7,July,Q3,2011-07
20110726,2011-07-26,2011,7,July,Q3,2011-07
20110727,2011-07-27,2011,7,July,Q3,2011-07
20110728,2011-07-28,2011,7,July,Q3,2011-07
20110729,2011-07-29,2011,7,July,Q3,2011-07
20110730,2011-07-30,2011,7,July,Q3,2011-07
20110731,2011-07-31,2011,7,July,Q3,2011-07
20110801,2011-08-01,2011,8,August,Q3,2011-08
20110802,2011-08-02,2011,8,August,Q3,2011-08
20110803,2011-08-03,2011,8,August,Q3,2011-08
20110804,2011-08-04,2011,8,August,Q3,2011-08
20110805,2011-08-05,2011,8,August,Q3,2011-08
20110806,2011-08-06,2011,8,August,Q3,2011-08
20110807,2011-08-07,2011,8,August,Q3,2011-08
20110808,2011-08-08,2011,8,August,Q3,2011-08
20110809,2011-08-09,2011,8,August,Q3,2011-08
20110810,2011-08-10,2011,8,August,Q3,2011-08
20110811,2011-08-11,2011,8,August,Q3,2011-08
20110812,2011-08-12,2011,8,August,Q3,2011-08
20110813,2011-08-13,2011,8,August,Q3,2011-08
20110814,2011-08-14,2011,8,August,Q3,2011-08
20110815,2011-08-15,2011,8,August,Q3,2011-08
20110816,2011-08-16,2011,8,August,Q3,2011-08
20110817,2011-08-17,2011,8,August,Q3,2011-08
20110818,2011-08-18,2011,8,August,Q3,2011-08
20110819,2011-08-19,2011,8,August,Q3,2011-08
20110820,2011-08-20,2011,8,August,Q3,2011-08
20110821,2011-08-21,2011,8,August,Q3,2011-08
20110822,2011-08-22,2011,8,August,Q3,2011-08
20110823,2011-08-23,2011,8,August,Q3,2011-08
20110824,2011-08-24,2011,8,August,Q3,2011-08
20110825,2011-08-25,2011,8,August,Q3,2011-08
20110826,2011-08-26,2011,8,August,Q3,2011-08
20110827,2011-08-27,2011,8,August,Q3,2011-08
20110828,2011-08-28,2011,8,August,Q3,2011-08
20110829,2011-08-29,2011,8,August,Q3,2011-08
20110830,2011-08-30,2011,8,August,Q3,2011-08
20110831,2011-08-31,2011,8,August,Q3,2011-08
20110901,2011-09-01,2011,9,September,Q3,2011-09
20110902,2011-09-02,2011,9,September,Q3,2011-09
20110903,2011-09-03,2011,9,September,Q3,2011-09
20110904,2011-09-04,2011,9,September,Q3,2011-09
20110905,2011-09-05,2011,9,September,Q3,2011-09
20110906,2011-09-06,2011,9,September,Q3,2011-09
20110907,2011-09-07,2011,9,September,Q3,2011-09
20110908,2011-09-08,2011,9,September,Q3,2011-09
20110909,2011-09-09,2011,9,September,Q3,2011-09
20110910,2011-09-10,2011,9,September,Q3,2011-09
20110911,2011-09-11,2011,9,September,Q3,2011-09
20110912,2011-09-12,2011,9,September,Q3,2011-09
20110913,2011-09-13,2011,9,September,Q3,2011-09
20110914,2011-09-14,2011,9,September,Q3,2011-09
20110915,2011-09-15,2011,9,September,Q3,2011-09
20110916,2011-09-16,2011,9,September,Q3,2011-09
20110917,2011-09-17,2011,9,September,Q3,2011-09
20110918,2011-09-18,2011,9,September,Q3,2011-09
20110919,2011-09-19,2011,9,September,Q3,2011-09
20110920,2011-09-20,2011,9,September,Q3,2011-09
20110921,2011-09-21,2011,9,September,Q3,2011-09
20110922,2011-09-22,2011,9,September,Q3,2011-09
20110923,2011-09-23,2011,9,September,Q3,2011-09
20110924,2011-09-24,2011,9,September,Q3,2011-09
20110925,2011-09-25,2011,9,September,Q3,2011-09
20110926,2011-09-26,2011,9,September,Q3,2011-09
20110927,2011-09-27,2011,9,September,Q3,2011-09
20110928,2011-09-28,2011,9,September,Q3,2011-09
20110929,2011-09-29,2011,9,September,Q3,2011-09
20110930,2011-09-30,2011,9,September,Q3,2011-09
20111001,2011-10-01,2011,10,October,Q4,2011-10
20111002,2011-10-02,2011,10,October,Q4,2011-10
20111003,2011-10-03,2011,10,October,Q4,2011-10
20111004,2011-10-04,2011,10,October,Q4,2011-10
20111005,2011-10-05,2011,10,October,Q4,2011-10
20111006,2011-10-06,2011,10,October,Q4,2011-10
20111007,2011-10-07,2011,10,October,Q4,2011-10
20111008,2011-10-08,2011,10,October,Q4,2011-10
20111009,2011-10-09,2011,10,October,Q4,2011-10
20111010,2011-10-10,2011,10,October,Q4,2011-10
20111011,2011-10-11,2011,10,October,Q4,2011-10
20111012,2011-10-12,2011,10,October,Q4,2011-10
20111013,2011-10-13,2011,10,October,Q4,2011-10
20111014,2011-10-14,2011,10,October,Q4,2011-10
20111015,2011-10-15,2011,10,October,Q4,2011-10
20111016,2011-10-16,2011,10,October,Q4,2011-10
20111017,2011-10-17,2011,10,October,Q4,2011-10
20111018,2011-10-18,2011,10,October,Q4,2011-10
20111019,2011-10-19,2011,10,October,Q4,2011-10
20111020,2011-10-20,2011,10,October,Q4,2011-10
20111021,2011-10-21,2011,10,October,Q4,2011-10
20111022,2011-10-22,2011,10,October,Q4,2011-10
20111023,2011-10-23,2011,10,October,Q4,2011-10
20111024,2011-10-24,2011,10,October,Q4,2011-10
20111025,2011-10-25,2011,10,October,Q4,2011-10
20111026,2011-10-26,2011,10,October,Q4,2011-10
20111027,2011-10-27,2011,10,October,Q4,2011-10
20111028,2011-10-28,2011,10,October,Q4,2011-10
20111029,2011-10-29,2011,10,October,Q4,2011-10
20111030,2011-10-30,2011,10,October,Q4,2011-10
20111031,2011-10-31,2011,10,October,Q4,2011-10
20111101,2011-11-01,2011,11,November,Q4,2011-11
20111102,2011-11-02,2011,11,November,Q4,2011-11
20111103,2011-11-03,2011,11,November,Q4,2011-11
20111104,2011-11-04,2011,11,November,Q4,2011-11
20111105,2011-11-05,2011,11,November,Q4,2011-11
20111106,2011-11-06,2011,11,November,Q4,2011-11
20111107,2011-11-07,2011,11,November,Q4,2011-11
20111108,2011-11-08,2011,11,November,Q4,2011-11
20111109,2011-11-09,2011,11,November,Q4,2011-11
20111110,2011-11-10,2011,11,November,Q4,2011-11
20111111,2011-11-11,2011,11,November,Q4,2011-11
20111112,2011-11-12,2011,11,November,Q4,2011-11
20111113,2011-11-13,2011,11,November,Q4,2011-11
20111114,2011-11-14,2011,11,November,Q4,2011-11
20111115,2011-11-15,2011,11,November,Q4,2011-11
20111116,2011-11-16,2011,11,November,Q4,2011-11
20111117,2011-11-17,2011,11,November,Q4,2011-11
20111118,2011-11-18,2011,11,November,Q4,2011-11
20111119,2011-11-19,2011,11,November,Q4,2011-11
20111120,2011-11-20,2011,11,November,Q4,2011-11
20111121,2011-11-21,2011,11,November,Q4,2011-11
20111122,2011-11-22,2011,11,November,Q4,2011-11
20111123,2011-11-23,2011,11,November,Q4,2011-11
20111124,2011-11-24,2011,11,November,Q4,2011-11
20111125,2011-11-25,2011,11,November,Q4,2011-11
20111126,2011-11-26,2011,11,November,Q4,2011-11
20111127,2011-11-27,2011,11,November,Q4,2011-11
20111128,2011-11-28,2011,11,November,Q4,2011-11
20111129,2011-11-29,2011,11,November,Q4,2011-11
20111130,2011-11-30,2011,11,November,Q4,2011-11
20111201,2011-12-01,2011,12,December,Q4,2011-12
20111202,2011-12-02,2011,12,December,Q4,2011-12
20111203,2011-12-03,2011,12,December,Q4,2011-12
20111204,2011-12-04,2011,12,December,Q4,2011-12
20111205,2011-12-05,2011,12,December,Q4,2011-12
20111206,2011-12-06,2011,12,December,Q4,2011-12
20111207,2011-12-07,2011,12,December,Q4,2011-12
20111208,2011-12-08,2011,12,December,Q4,2011-12
20111209,2011-12-09,2011,12,December,Q4,2011-12
